frame_length,Ti,Cb,0,1,2,3,4,5,6,7,8,9
0,0.133333333,0.632698,0.040760215,0.036601037,0.028408282,0.020215526,0.01823792,0.025338348,0.032438774,0.040330753,0.076532386,0.11273401
0.166666667,0.35,140.5885,18.177458,17.420736,16.563547,15.706358,13.398776,8.972707,4.546637,0.27456903,1.5103176,2.746066
0.166666667,0.516666667,17912.979,0,0,0,0,0,0,0,0,0,0
0.166666667,0.683333333,4444.976,8.17E-08,6.64E-08,4.08E-08,1.53E-08,7.75E-10,2.49E-09,4.20E-09,5.83E-09,4.22E-09,2.61E-09
0.166666667,0.85,2675.443,0.001335959,0.000509933,0.000515968,0.000522003,0.000531953,0.000547622,0.000563291,0.009695428,0.34487534,0.68005526
0.166666667,1.016666667,2183.5354,1.13E-09,4.27E-06,9.71E-06,1.52E-05,0.003751461,0.012937184,0.022122908,0.038459025,0.31052685,0.5825947
0.166666667,1.183333333,1942.3553,0.15976919,9.765366,21.979025,34.192684,290.4771,903.2586,1516.0402,2102.654,1753.3931,1404.1322
0.333333333,1.433333333,2469.1255,2.6521502,13.426861,26.931625,40.43639,47.831608,46.303036,44.774467,43.16114,38.51647,33.871807
0.333333333,1.766666667,1774.004,0.00839995,0.23283346,0.52044195,0.8080504,5.823371,17.74413,29.664886,45.7511,210.81352,375.87595
0.333333333,2.1,1750.7802,0.009330539,0.019489497,0.03171179,0.043934084,0.0600457,0.08183818,0.10363066,0.7203035,22.612696,44.50509
0.5,2.516666667,1649.6849,0.26258555,5.054624,11.133756,17.212889,43.72608,100.08588,156.44566,214.03493,315.59576,417.1566
0.5,3.016666667,1320.7219,0.043210935,0.20811792,0.41624004,0.6243622,42.52922,145.33757,248.14594,373.18338,1293.2378,2213.2922
0.5,3.516666667,1468.361,26.432272,25.844675,23.673141,21.501608,18.578756,14.558503,10.538251,6.6917753,9.060401,11.429026
0.5,4.016666667,1399.1465,8.2362385,68.57189,144.67163,220.77136,300.83386,386.6845,472.53516,553.4901,459.3513,365.2125
0.5,4.516666667,1256.1891,49.849384,69.511246,90.712685,111.91413,111.027054,77.87683,44.726604,13.106658,36.2167,59.326744
0.5,5.016666667,1514.3988,128.82198,154.84537,178.9057,202.96603,306.69275,526.78265,746.8725,959.43976,902.9646,846.48944
1,5.766666667,1267.286,35.194145,67.09828,107.58669,148.0751,179.08444,196.24838,213.41232,234.2831,387.72775,541.17236
1,6.766666667,1261.8634,9.231104,12.639938,16.331673,20.023407,21.189768,18.667496,16.145222,14.604067,48.152363,81.70066
1,7.766666667,1073.1344,82.83625,77.60074,76.08284,74.56495,67.51175,52.37352,37.235287,22.904463,37.450233,51.996002
1,8.766666667,1180.8586,15.915378,167.89621,360.01767,552.13916,644.93353,592.6478,540.3621,485.6649,344.72034,203.77577
1,9.766666667,1204.6708,115.97456,141.2801,165.78914,190.29817,209.8426,222.13562,234.42862,247.43448,285.93533,324.4362
5,12.76666667,997.95605,351.4147,394.60068,431.47095,468.34122,477.74194,447.0198,416.29767,384.63785,319.44254,254.24724
5,17.76666667,975.90485,380.32623,394.58517,399.3988,404.21243,411.3925,422.02905,432.66562,444.17285,486.8198,529.46674
5,22.76666667,849.9784,279.9824,325.1103,364.17883,403.24738,443.6094,485.8607,528.112,569.9862,598.37427,626.7623
5,27.76666667,836.31244,499.93774,522.88763,513.4429,503.99808,457.69525,357.5564,257.41754,160.02205,160.74179,161.46153
5,32.76666667,878.9513,26.834696,31.091946,34.758556,38.425167,40.325287,39.645226,38.965164,38.60931,49.848682,61.088055
5,37.76666667,863.6359,3.8468177,9.022858,15.406188,21.78952,35.281807,59.157646,83.033485,107.36306,147.92049,188.4779
5,42.76666667,878.6377,10.69958,66.43769,136.68988,206.94206,378.69937,698.71814,1018.7369,1329.4805,1308.4988,1287.517
5,47.76666667,841.6151,28.021544,35.426758,48.53962,61.65248,86.60502,128.85092,171.09683,212.02687,205.8948,199.76274
5,52.76666667,837.97546,131.2392,160.61511,198.16989,235.72467,258.47516,259.60208,260.72897,262.21933,276.70755,291.1958
