Voxel_No,V_b,K_1,k_2,k_3,k_4,K_i,model
0,0.025677964,0.13684642,0.5434733,0.009588774,0.009820076,0.0023725897,k4 non-zero
0,0.042025324,0.14668694,0.37327766,0.060288314,0.0,0.020397145,k4 zero
0,0.006963153,0.2692964,0.73064786,0.03361047,0.0,0.011843087,k4 zero
0,0.06459825,0.081955634,0.16456267,0.005489849,0.016408207,0.0026457945,k4 non-zero
0,0.082228735,0.0720062,0.64710104,0.24932964,0.018151546,0.020027518,k4 non-zero
0,0.06540133,0.07971046,0.18005894,0.08243553,0.0127654,0.02503281,k4 non-zero
0,0.021198506,0.09561511,0.65200216,0.15857928,0.0,0.018705802,k4 zero
0,0.03722971,0.1154671,0.3763977,0.13379334,0.011437064,0.030280283,k4 non-zero
0,0.076526485,0.1336673,0.4629718,0.0017826711,0.0,0.00051271124,k4 zero
0,0.0109735,0.18293864,0.7569068,0.21113658,0.024081394,0.03990011,k4 non-zero
0,0.009713756,0.041966233,0.09074278,0.35666832,0.05702155,0.03345475,k4 non-zero
0,0.014938136,0.036684547,0.044182505,0.058228046,0.0,0.020857904,k4 zero
0,0.07239561,0.122027315,0.6850654,0.20140868,0.00815483,0.02772485,k4 non-zero
0,0.0068603535,0.047734912,0.19195114,0.4544552,0.06390118,0.03355997,k4 non-zero
0,0.017976368,0.05027443,0.19773011,0.071473524,0.0,0.013347855,k4 zero
0,0.057859346,0.0440421,0.54307866,0.4229992,0.0,0.019283926,k4 zero
0,0.039671022,0.07506791,0.5655015,0.29659805,0.0,0.025826478,k4 zero
0,0.021647433,0.22372878,0.69514585,0.033418704,0.01115289,0.0102622695,k4 non-zero
0,0.023418386,0.1136183,0.5036235,0.11033345,0.0,0.020418206,k4 zero
0,0.08992464,0.07198157,0.34873816,0.24528216,0.017532863,0.029722543,k4 non-zero
0,0.017265232,0.03208654,0.82442117,0.09122797,0.009583019,0.0031968465,k4 non-zero
0,0.0674034,0.04015458,0.32722756,0.00055764377,0.0,6.831288e-05,k4 zero
0,0.0022387048,0.07791599,0.5113375,0.094672106,0.0,0.012172201,k4 zero
0,0.0041774986,0.23228544,0.8608272,0.02208869,0.009092141,0.005811291,k4 non-zero
0,0.034403697,0.11429249,0.61734295,0.036115754,0.012019987,0.006316787,k4 non-zero
0,0.08408687,0.23299329,0.89309716,0.050131496,0.0,0.012383319,k4 zero
0,0.03007082,0.1464229,0.2988574,0.02937813,0.0,0.013105317,k4 zero
0,0.042819995,0.16254447,0.39829746,0.05137844,0.019415425,0.01857178,k4 non-zero
0,0.0189014,0.07288817,0.2626562,0.32118407,0.027423052,0.04009747,k4 non-zero
0,0.04216576,0.051722705,0.1962496,0.09593729,0.0,0.016982747,k4 zero
0,0.057452206,0.12073818,0.46645704,0.13840492,0.0,0.027627392,k4 zero
0,0.0912822,0.0557542,0.29876176,0.2449495,0.03668594,0.025118046,k4 non-zero
0,0.035828687,0.14897908,0.6877529,0.012278048,0.011685803,0.0026129878,k4 non-zero
0,0.021800801,0.10357418,0.46768826,0.0036146576,0.0,0.0007943621,k4 zero
0,0.0331991,0.05791855,0.06106337,0.23915972,0.060508713,0.0461383,k4 non-zero
0,0.07217864,0.15441965,0.62547785,0.050639544,0.0,0.0115656555,k4 zero
0,0.025969796,0.1697653,0.9078057,0.002588884,0.016428934,0.0004827606,k4 non-zero
0,0.051803567,0.09151173,0.75471884,0.08736988,0.009864628,0.0094946865,k4 non-zero
0,0.023290016,0.16833371,0.48374653,0.076987155,0.0,0.023111744,k4 zero
0,0.040643208,0.23356402,0.84170514,0.07941726,0.014886384,0.020137405,k4 non-zero
0,0.05391539,0.21185555,0.90955806,0.05718175,0.011708405,0.012531056,k4 non-zero
0,0.025191741,0.2609579,0.8164059,0.051597025,0.0,0.01551222,k4 zero
0,0.003235061,0.16370165,0.2995728,0.014599546,0.0,0.0076071937,k4 zero
0,0.024563296,0.15331157,0.79037696,0.046616208,0.0,0.008538664,k4 zero
0,0.05424228,0.07747481,0.48148912,0.3766452,0.017542051,0.034004603,k4 non-zero
0,0.03480664,0.110179536,0.57496285,0.17973359,0.023524323,0.026239641,k4 non-zero
0,0.044723142,0.08592061,0.21579975,0.13562667,0.008068566,0.033159506,k4 non-zero
0,0.03962262,0.028909937,0.027023409,0.46872738,0.03162046,0.027334055,k4 non-zero
0,0.014485196,0.10371498,0.57756835,0.31243786,0.023580886,0.03640928,k4 non-zero
0,0.09583575,0.28448623,0.83857346,0.013359961,0.014621081,0.0044612936,k4 non-zero
